delta,snum,s_topic,description,document_url,s_creator_user_id,s_code_language,env_kind,s_content_type,code_url,code_identifier,product_url,product_image_url,is_runnable,is_deployable,is_docker,s_updated_yyyy,s_updated_mm,updated_day,yyyy_mm_dd
-,Dw-Mo15,Mobile,Video explaining setting up ionic,https://mobilefirstplatform.ibmcloud.com/blog/2016/04/11/getting-started-with-ionic-and-ibm-mobilefirst-platform-foundation-8-0/,10093,js,nodejs:100,PDF,https://mobilefirstplatform.ibmcloud.com/blog/2016/04/11/getting-started-with-ionic-and-ibm-mobilefirst-platform-foundation-8-0/,Getting Started with Ionic and MobileFirst Platform Foundation 8.0 Beta,,,,,,2017,6,27,2017_06_121
-,Dw-Mo16,Mobile,Developing mobile app,https://www.ibm.com/developerworks/cloud/library/cl-develop-angular-ionic-mobile-applications-using-bluemix-push/index.html,10094,js,nodejs:101,PDF,https://www.ibm.com/developerworks/cloud/library/cl-develop-angular-ionic-mobile-applications-using-bluemix-push/index.html,Develop an Angular Ionic mobile app using Bluemix Push services,,,,,,2017,6,27,2017_06_122
-,Dw-Cl1,Cloud,Presentation explaining cloud in general,https://www.ibm.com/developerworks/community/files/basic/anonymous/api/library/fb813514-4e50-45d2-9213-5ff6c21fe4b7/document/2c8ed191-2905-4cdc-9166-f3a60f67ae03/media,10096,js,nodejs:103,PDF,https://www.ibm.com/developerworks/community/files/basic/anonymous/api/library/fb813514-4e50-45d2-9213-5ff6c21fe4b7/document/2c8ed191-2905-4cdc-9166-f3a60f67ae03/media,An Introduction to Cloud Computing,,,,,,2017,6,27,2017_06_124
-,Dw-Cl2,Cloud,Explains Cloud Computing and its deployment models,https://www.ibm.com/developerworks/community/blogs/722f6200-f4ca-4eb3-9d64-8d2b58b2d4e8/entry/4_Types_of_Cloud_Computing_Deployment_Model_You_Need_to_Know1?lang=en_vn,10097,js,nodejs:104,HTML,https://www.ibm.com/developerworks/community/blogs/722f6200-f4ca-4eb3-9d64-8d2b58b2d4e8/entry/4_Types_of_Cloud_Computing_Deployment_Model_You_Need_to_Know1?lang=en_vn,4 Types of Cloud Computing Deployment Model You Need to Know,,,,,,2017,6,27,2017_06_125
-,Dw-Cl3,Cloud,"Introduction, Basic concepts and  cloud architecture",https://www.ibm.com/developerworks/cloud/library/cl-cloud-technology-basics/index.html,10098,js,nodejs:105,PDF,https://www.ibm.com/developerworks/cloud/library/cl-cloud-technology-basics/index.html,IBM cloud technologies: How they all fit together,,,,,,2017,6,27,2017_06_126
-,Rb-cl1,Cloud,Chapter 1 covers cloud computing. ,http://www.redbooks.ibm.com/abstracts/redp4873.html?Open,10099,js,nodejs:106,PDF,http://www.redbooks.ibm.com/abstracts/redp4873.html?Open,"IBM Private, Public, and Hybrid Cloud Storage Solutions",,,,,,2017,6,27,2017_06_127
-,Rb-cl2,Cloud,Unit 1.5 onwards explains what cloud is ,http://www.redbooks.ibm.com/abstracts/sg248350.html?Open,10100,js,nodejs:107,PDF,http://www.redbooks.ibm.com/abstracts/sg248350.html?Open,A Practical Approach to Cloud IaaS with IBM SoftLayer: Presentations Guide,,,,,,2017,6,27,2017_06_128
-,Rb-cl3,Cloud,We could probably use Hybrid integration,http://www.redbooks.ibm.com/abstracts/sg248351.html?Open,10101,js,nodejs:108,PDF,http://www.redbooks.ibm.com/abstracts/sg248351.html?Open,An Architectural and Practical Guide to IBM Hybrid Integration Platform,,,,,,2017,6,27,2017_06_129
-,Rb-cl4,Cloud,"Some interesting content such as explaining cloud to your kid, the different models, cloud security, advantages, etc..",http://www.redbooks.ibm.com/abstracts/redp5179.html?Open,10102,js,nodejs:109,PDF,http://www.redbooks.ibm.com/abstracts/redp5179.html?Open,Cloud Computing Simplified: The Thoughts On Cloud Way,,,,,,2017,6,27,2017_06_130
-,Rb-cl5,Cloud,We could probably use the Big Data on cloud content at a later stage.,http://www.redbooks.ibm.com/abstracts/redp5085.html?Open,10103,js,nodejs:110,PDF,http://www.redbooks.ibm.com/abstracts/redp5085.html?Open,Building Big Data and Analytics Solutions in the Cloud,,,,,,2017,6,27,2017_06_131
